artist,song,duration_ms,year,popularity,loudness,speechiness,acousticness,instrumentalness,tempo,genre
Mariah Carey,We Belong Together,201400,2005,69,-7.918,0.0629,0.0264,0,139.987,pop; R&B
Mario,Let Me Love You,256733,2004,72,-8.97,0.0922,0.235,0,94.514,pop; R&B
Kanye West,Gold Digger,207626,2005,78,-5.572,0.348,0.0195,0,93.034,hip hop
Rihanna,Pon de Replay,246960,2005,77,-8.415,0.159,0.000155,0.00077,99.019,hip hop; pop; R&B
50 Cent,Candy Shop,209106,2005,79,-7.961,0.466,0.0253,0.000032,125.173,hip hop; pop
James Blunt,You're Beautiful,209493,2005,75,-9.87,0.0278,0.633,0.0000176,81.998,pop
Green Day,Boulevard of Broken Dreams,261266,2004,72,-3.68,0.0309,0.00394,0.0000154,167.046,rock
The Pussycat Dolls,Don't Cha,272080,2005,72,-3.475,0.099,0.00542,0.00000254,120.003,pop; R&B
Daniel Powter,Bad Day,233640,2005,74,-4.013,0.0309,0.448,0.00336,140.046,pop
Akon,Bananza (Belly Dancer),238493,2004,28,-5.897,0.132,0.0345,0.00000337,104.838,pop
Madonna,Hung Up,337733,2005,74,-7.695,0.0452,0.0039,0.161,125.02,pop
50 Cent,Just A Lil Bit,237706,2005,76,-6.672,0.41,0.0322,0.00608,96.946,hip hop; pop
Crazy Frog,Axel F,168879,2005,67,-3.321,0.0407,0.279,0.693,138.045,pop
Eminem,Ass Like That,265480,2004,52,-6.152,0.366,0.409,0,83.093,hip hop
Sean Paul,We Be Burnin',213066,2005,59,-4.195,0.151,0.145,0,117,hip hop; pop
Gwen Stefani,Rich Girl,236213,2004,68,-2.728,0.0416,0.0294,0.0000149,98.018,pop; R&B
The Chemical Brothers,Galvanize,393813,2005,63,-3.681,0.0751,0.0141,0.0222,104.003,Dance/Electronic
Fort Minor,Remember the Name (feat. Styles of Beyond),230493,2005,73,-4.162,0.0911,0.0583,0.00000287,84.858,hip hop; pop; rock
50 Cent,Disco Inferno,214226,2005,72,-4.763,0.231,0.206,0.0000788,97.018,hip hop; pop
The Game,How We Do,235533,2005,74,-7.401,0.251,0.0455,0,98.012,hip hop; pop
Chris Brown,Run It! (feat. Juelz Santana),229866,2005,71,-6.721,0.129,0.0246,0,100.969,hip hop; pop; R&B
Mariah Carey,It's Like That,203360,2005,0,-4.875,0.0514,0.0901,0,95.953,pop; R&B
Black Eyed Peas,My Humps,326960,2005,67,-5.924,0.222,0.111,0.0000139,123.95,hip hop; pop
Ciara,Oh (feat. Ludacris),256346,2004,61,-7.135,0.0506,0.000298,0,128.29,pop; R&B
50 Cent,Outta Control - Remix,247506,2005,60,-5.996,0.246,0.0277,0,92.029,hip hop; pop
Baby Bash,Baby; I'm Back,219920,2005,4,-5.461,0.105,0.0508,0,100.01,hip hop; pop; R&B; latin
Jennifer Lopez,Get Right,225533,2005,65,-5.096,0.12,0.0218,0,97.084,hip hop; pop; R&B
JAY-Z,Numb / Encore,205733,2004,76,-4.254,0.166,0.0603,0,107.045,hip hop
The Game,Hate It Or Love It,206400,2005,77,-4.781,0.207,0.14,0,99.998,hip hop; pop
Gorillaz,Feel Good Inc.,222640,2005,82,-6.679,0.177,0.00836,0.00233,138.559,hip hop
Black Eyed Peas,Don't Phunk With My Heart,239773,2005,62,-2.76,0.061,0.00937,0,130.889,hip hop; pop
Akon,Lonely,235800,2004,21,-7.88,0.0352,0.331,0,90.098,pop
Bodyrockers,I Like The Way - Radio Edit,200053,2005,54,-3.638,0.0431,0.0248,0.0146,127.988,rock; Dance/Electronic
Sugababes,Push The Button,218093,2005,64,-5.096,0.061,0.0485,0,126.016,pop; R&B
Jeezy,Soul Survivor,280013,2005,55,-7.728,0.0459,0.000839,0,84.03,hip hop; pop
Eminem,Mockingbird,250760,2004,77,-3.798,0.266,0.209,0,84.039,hip hop
Shakira,La Tortura (feat. Alejandro Sanz),212893,2005,72,-5.367,0.0427,0.0297,0.000308,100.011,pop; latin
Gorillaz,DARE,244999,2005,73,-5.852,0.0372,0.0229,0.0869,120.264,hip hop
Snoop Dogg,Signs,236813,2004,54,-5.308,0.127,0.0319,0.00076,112.955,hip hop; pop
Robbie Williams,Tripping,276603,2005,58,-4.458,0.0429,0.0381,0.000191,118.014,pop; rock
David Banner,Play,230133,2005,52,-8.013,0.126,0.000213,0.122,95.027,hip hop; pop
Trillville,Some Cut,283454,2004,50,-6.626,0.372,0.00341,0,84.995,hip hop; pop
D4L,Laffy Taffy,224253,2005,63,-7.994,0.428,0.0351,0,77.499,hip hop; pop
Missy Elliott,Lose Control (feat. Ciara & Fat Man Scoop),226863,2005,67,-7.105,0.121,0.0311,0.00697,125.461,hip hop; pop; R&B
Rob Thomas,Lonely No More,226640,2005,56,-3.152,0.109,0.033,0,171.79,pop; Folk/Acoustic
Brian McFadden,Almost Here,229826,2004,42,-7.324,0.0336,0.409,0,77.984,set()
Bobby V.,Slow Down - 12" Version,258666,2005,65,-4.896,0.103,0.179,0.00000492,186.048,hip hop; pop; R&B
Backstreet Boys,Incomplete,239586,2005,63,-4.834,0.0331,0.231,0,133.631,pop
Pretty Ricky,Grind With Me,237733,2005,63,-5.952,0.045,0.000204,0,136.518,hip hop; pop; R&B
Kanye West,Diamonds From Sierra Leone - Remix,233400,2005,61,-3.768,0.27,0.258,0,97.043,hip hop
Snoop Dogg,Drop It Like It's Hot,266066,2004,39,-3.832,0.216,0.169,0,92.063,hip hop; pop
Fat Joe,Get It Poppin' (feat. Nelly) - Radio Version,211320,2005,41,-7.558,0.372,0.0628,0,100.813,hip hop; pop
Destiny's Child,Soldier (feat. T.I. & Lil' Wayne),325573,2004,63,-6.799,0.361,0.0444,0,77.49,pop; R&B
Ciara,1; 2 Step (feat. Missy Elliott) - Main,202213,2005,52,-10.94,0.161,0.0444,0.00128,113.053,pop; R&B
Amerie,1 Thing,238746,2008,52,-4.683,0.332,0.115,0.0000375,125.085,hip hop; pop; R&B
Ludacris,Get Back,270746,2004,59,-5.16,0.263,0.0594,0,171.609,hip hop; pop
Franz Ferdinand,Do You Want To,215000,2005,61,-2.896,0.0448,0.0724,0.000493,123.091,rock
Natalie Imbruglia,Shiver,222653,2005,52,-4.49,0.0316,0.00115,0.00000281,94.163,pop; Folk/Acoustic
Gwen Stefani,Hollaback Girl,199853,2004,69,-2.221,0.0929,0.35,0.00000617,110.007,pop; R&B
Pretty Ricky,Your Body,240040,2005,59,-5.695,0.113,0.176,0,90.038,hip hop; pop; R&B
Thirty Seconds To Mars,The Kill,231533,2005,74,-3.881,0.0791,0.0014,0.000294,182.99,rock
Alicia Keys,Karma,256000,2003,50,-6.203,0.0615,0.0743,0.00311,85.098,pop; R&B
2Pac,Ghetto Gospel,238053,2004,68,-5.352,0.0467,0.0964,0,80.569,hip hop
Craig David,Don't Love You No More (I'm Sorry),243986,2005,56,-7.076,0.0245,0.462,0,100.113,hip hop; pop; R&B
Katie Melua,Nine Million Bicycles,197160,2005,60,-15.636,0.0322,0.516,0.00859,82.168,pop; easy listening; jazz
Lil Jon & The East Side Boyz,Lovers And Friends,260600,2004,66,-6.183,0.22,0.0541,0,139.861,hip hop; pop
Mariah Carey,Don't Forget About Us - Radio Edit,233866,2005,0,-6.816,0.0395,0.0422,0,143.555,pop; R&B
Ying Yang Twins,Wait (The Whisper Song),179160,2005,57,-13.203,0.347,0.00112,0.00248,102.017,hip hop; pop
Will Smith,Switch,197666,2020,34,-4.325,0.18,0.0107,0.000502,102.516,hip hop; pop
Bow Wow,Like You (feat. Ciara),205840,2005,66,-8.365,0.0876,0.0465,0,82.017,hip hop; pop; R&B
Kaiser Chiefs,Everyday I Love You Less And Less,217706,2005,58,-4.556,0.0407,0.00466,0.00000615,160.028,rock
Kelly Clarkson,Behind These Hazel Eyes,198973,2004,59,-4.682,0.0382,0.00165,0.00109,90.048,pop; R&B
Black Eyed Peas,Don't Lie,219000,2005,61,-5.299,0.186,0.16,0,89.885,hip hop; pop
Westlife,You Raise Me Up,241066,2005,1,-6.596,0.0314,0.631,0,75.048,pop
Ray J,One Wish,337640,2005,62,-7.042,0.28,0.278,0,127.673,hip hop; pop; R&B
Papa Roach,Scars,208199,2004,60,-3.295,0.0494,0.0875,0,89.782,rock; metal
Arctic Monkeys,I Bet You Look Good On The Dancefloor,173680,2006,71,-4.19,0.0356,0.00225,0,103.183,rock
Shayne Ward,That's My Goal,219600,2006,1,-5.966,0.0336,0.372,0,68.637,pop
Bow Wow,Let Me Hold You (feat. Omarion),248493,2005,62,-8.244,0.199,0.0915,0.000409,151.518,hip hop; pop; R&B
Kaiser Chiefs,I Predict A Riot,233186,2005,63,-3.241,0.0766,0.0243,0,158.842,rock
Usher,Caught Up,224640,2004,61,-4.606,0.0623,0.027,0.000009,110.086,hip hop; pop; R&B
Kelly Clarkson,Because of You,219493,2004,71,-5.284,0.0313,0.248,0,139.92,pop; R&B
3 Doors Down,Let Me Go,243053,2012,52,-4.914,0.0387,0.0181,0,92.004,pop; rock; metal
Nickelback,Photograph,258920,2005,67,-3.756,0.0292,0.000932,0.000166,145.916,rock; metal
T-Pain,I'm Sprung,231040,2005,0,-11.617,0.108,0.088,0,99.991,hip hop; pop; R&B
Destiny's Child,Cater 2 U,245400,2004,58,-7.043,0.197,0.286,0,125.802,pop; R&B
The Pussycat Dolls,Stickwitu,207506,2005,67,-6.408,0.0587,0.283,0,79.918,pop; R&B
Ryan Cabrera,True,204173,2004,62,-10.054,0.0241,0.459,0,96.938,pop
Stereophonics,Dakota,297426,2005,69,-3.499,0.0675,0.129,0.00682,146.994,rock; pop
Eminem,Like Toy Soldiers,296880,2004,67,-3.489,0.359,0.0193,0.00034,79.178,hip hop
Nelly,Over And Over,253933,2004,61,-10.02,0.0803,0.0065,0.00000137,169.799,hip hop; pop; R&B
Coldplay,Speed of Sound,287906,2005,69,-6.765,0.0577,0.00488,0.0345,123.067,rock; pop
KT Tunstall,Suddenly I See,201706,2005,71,-5.713,0.0449,0.225,0,100.38,World/Traditional; pop; Folk/Acoustic
Destiny's Child,Girl,224146,2004,55,-6.019,0.105,0.31,0,89.036,pop; R&B
Kelly Clarkson,Since U Been Gone,188960,2004,71,-5.354,0.0322,0.00206,0.0603,130.999,pop; R&B
U2,Sometimes You Can't Make It On Your Own,305080,2004,56,-5.652,0.0247,0.00275,0.473,96,World/Traditional; rock
The All-American Rejects,Dirty Little Secret,193653,2005,65,-4.253,0.0432,0.000343,0.00000135,143.853,rock; pop
Toby Keith,As Good As I Once Was,227840,2005,67,-4.461,0.0393,0.266,0,119.075,country
Gwen Stefani,Cool,189333,2004,59,-3.52,0.0281,0.0322,0.000309,112.019,pop; R&B
Foo Fighters,Best of You,255626,2005,76,-5.119,0.0696,0.000769,0.0000942,130.198,rock; metal
Shakira,Hips Don't Lie (feat. Wyclef Jean),218093,2005,82,-5.892,0.0707,0.284,0,100.024,pop; latin
Sean Paul,Temperature,218573,2005,78,-4.675,0.0685,0.106,0,125.04,hip hop; pop
Justin Timberlake,SexyBack (feat. Timbaland),242733,2006,78,-5.562,0.0789,0.0584,0,117,pop
Beyoncé,Irreplaceable,227853,2007,70,-4.637,0.382,0.0293,0.00000546,175.868,pop; R&B
Amy Winehouse,Rehab,214946,2006,71,-13.609,0.0552,0.0541,0.00000151,71.815,R&B
Rihanna,SOS,238920,2006,73,-4.905,0.0361,0.004,0.0000507,137.046,hip hop; pop; R&B
Gnarls Barkley,Crazy,177466,2006,74,-4.589,0.0336,0.0505,0.00714,111.97,hip hop; R&B
Busta Rhymes,Touch It,214960,2006,61,-6.62,0.37,0.0043,0.000108,138.335,hip hop; pop
Nelly Furtado,Maneater,258893,2006,79,-4.81,0.0397,0.0261,0.000358,132.722,hip hop; pop; latin
Bob Sinclar,Rock This Party - Everybody Dance Now,245466,2006,69,-3.708,0.122,0.0714,0,128.009,pop; Dance/Electronic
Diddy,Come to Me (feat. Nicole Scherzinger),276786,2006,55,-6.45,0.0756,0.0176,0,96.998,hip hop; pop
Madonna,Sorry,281880,2005,61,-6.229,0.046,0.00121,0.013,132.971,pop
Chamillionaire,Ridin',303053,2005,71,-4.68,0.0993,0.189,0,143.052,hip hop; pop
Black Eyed Peas,Pump It,213066,2005,75,-3.15,0.181,0.00937,0,153.649,hip hop; pop
Nelly Furtado,Promiscuous,242293,2006,82,-6.098,0.0506,0.0569,0.0000613,114.328,hip hop; pop; latin
Fedde Le Grand,Put Your Hands Up for Detroit - Radio Edit,150533,2015,39,-4.525,0.229,0.0154,0.154,127.919,pop; Dance/Electronic
Sean Paul,(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,243880,2006,58,-3.04,0.225,0.067,0,95.824,hip hop; pop
The Pussycat Dolls,Buttons,225560,2005,68,-4.338,0.27,0.152,0,210.851,pop; R&B
Ciara,Get Up (feat. Chamillionaire),261880,2006,59,-6.887,0.109,0.0248,0.00000514,128.593,pop; R&B
Eminem,Shake That,274440,2005,74,-5.785,0.117,0.0507,0.0000494,107.005,hip hop
Cherish,Do It To It,226293,2006,65,-5.559,0.169,0.00798,0,74.007,hip hop; pop; R&B
Muse,Supermassive Black Hole,212439,2006,75,-3.727,0.0439,0.0492,0.00517,120,rock
Chris Brown,Gimme That,186826,2005,63,-7.033,0.0466,0.00374,0.0000659,87.165,hip hop; pop; R&B
Infernal,From Paris to Berlin,209666,2004,57,-6.534,0.0816,0.096,0,126.069,pop
Cassie,Me & U,192213,2006,73,-4.802,0.0294,0.352,0,99.99,pop; R&B
E-40,U and Dat (feat. T. Pain & Kandi Girl),202720,2006,63,-7.448,0.277,0.0241,0.0000018,99.992,hip hop; pop
The Pussycat Dolls,Beep,229360,2005,57,-6.382,0.0434,0.00952,0,103.7,pop; R&B
Lil Jon,Snap Yo Fingers,274386,2006,67,-5.029,0.23,0.00647,0,82.038,hip hop; pop
Armand Van Helden,My My My - Radio Edit,190000,2006,40,-8.502,0.137,0.0195,0.00866,127.51,pop; Dance/Electronic
The Notorious B.I.G.,Nasty Girl (feat. Diddy; Nelly; Jagged Edge & Avery Storm) - 2005 Remaster,286186,2005,68,-7.041,0.141,0.0949,0.0000016,106.328,hip hop
Yung Joc,It's Goin' Down (feat. Nitti),241840,2006,66,-7.702,0.0612,0.0986,0,84.003,hip hop; pop
Shayne Ward,No Promises,223066,2006,1,-6.087,0.026,0.527,0,79.798,pop
Justin Timberlake,My Love (feat. T.I.),276160,2006,72,-5.881,0.224,0.277,0.0000118,119.952,pop
Nickelback,Savin' Me,219320,2005,65,-4.088,0.0276,0.000731,0,164.007,rock; metal
Nelly,Grillz,271160,2005,60,-7.737,0.241,0.0358,0,82.996,hip hop; pop; R&B
Take That,Patience,202066,2006,64,-4.154,0.0405,0.142,0.00000111,175.788,pop
Fergie,London Bridge,241306,2006,57,-5.894,0.357,0.216,0,90.951,pop; R&B
Cascada,Everytime We Touch - Radio Edit,199120,2011,0,-5.369,0.0555,0.00461,0.0000168,142.019,hip hop; pop; Dance/Electronic
D4L,Laffy Taffy,224253,2005,63,-7.994,0.428,0.0351,0,77.499,hip hop; pop
LL Cool J,Control Myself,233973,2006,42,-6.556,0.211,0.00928,0.000012,120.066,hip hop; pop; R&B
Beyoncé,Deja Vu (feat. Jay-Z),240280,2007,57,-4.941,0.341,0.0071,0.0000122,105.253,pop; R&B
P!nk,Stupid Girls,197173,2006,0,-5.045,0.071,0.000738,0.00188,100.04,pop
Eminem,When I'm Gone,281320,2005,68,-5.476,0.352,0.0553,0,75.272,hip hop
Kelis,Bossy,273973,2006,50,-5.316,0.19,0.000182,0.00000834,84.021,pop; R&B; Dance/Electronic
Bob Sinclar,Love Generation - Radio Edit,207613,2005,49,-5.758,0.062,0.175,0.000134,128.04,pop; Dance/Electronic
Meck,Thunder in My Heart Again (Radio Edit),189800,2005,46,-4.67,0.0294,0.000241,0.69,129.016,set()
Mary J. Blige,Be Without You - Kendu Mix,246333,2005,69,-5.881,0.0998,0.0717,0,146.559,pop; R&B
Girls Aloud,Something Kinda Ooooh,201590,2012,49,-3.918,0.0473,0.0232,0,131.925,pop; Dance/Electronic
Rihanna,Unfaithful,226973,2006,70,-8.607,0.0334,0.839,0,144.069,hip hop; pop; R&B
Kanye West,Touch The Sky,236600,2005,73,-4.912,0.342,0.0114,0,98.56,hip hop
Dem Franchize Boyz,Lean Wit It; Rock Wit It,229813,2006,60,-5.854,0.307,0.082,0,76.035,hip hop; pop
Evanescence,Call Me When You're Sober,214706,2006,65,-4.094,0.0524,0.00193,0,93.41,metal
Chingy,Pullin' Me Back,234133,2006,62,-6.66,0.286,0.0825,0,80,hip hop; pop; R&B
Nickelback,Far Away,238173,2005,70,-5.153,0.0309,0.000681,0,132.918,rock; metal
Fall Out Boy,Dance; Dance,180266,2005,74,-3.198,0.154,0.00523,0,114.452,rock
Leona Lewis,A Moment Like This,257293,2007,57,-3.667,0.0301,0.423,0.00000754,70.543,pop; R&B
T.I.,What You Know,274333,2006,64,-4.365,0.0344,0.0155,0,73.464,hip hop; pop
Ludacris,Money Maker,230613,2006,62,-6.79,0.27,0.15,0,78.756,hip hop; pop
Nick Lachey,What's Left Of Me,244613,2006,37,-5.665,0.0375,0.142,0,149.965,pop
Jibbs,Chain Hang Low,207586,2006,56,-6.869,0.262,0.0259,0.000128,157.147,hip hop; pop
Arctic Monkeys,When The Sun Goes Down,202133,2006,72,-4.758,0.199,0.0341,0,169.152,rock
Rascal Flatts,Life is a Highway,276773,2006,0,-5.409,0.0613,0.00185,0,103.055,country
Beyoncé,Check On It (feat. Slim Thug),211186,2006,45,-3.887,0.218,0.0805,0,166.104,pop; R&B
Keyshia Cole,Love,255333,2005,72,-4.285,0.0283,0.064,0,116.714,hip hop; pop; R&B
Lily Allen,Smile,196893,2006,68,-5.938,0.0259,0.00143,0,95.506,pop
Ne-Yo,Sexy Love,220853,2006,67,-6.446,0.0413,0.297,0.000127,94.02,pop; R&B
JoJo,Too Little Too Late,223680,2006,48,-5.338,0.0431,0.0113,0.00000388,83.001,hip hop; pop; R&B
Mary J. Blige,One,260466,2005,64,-3.161,0.0777,0.0841,0,185.888,pop; R&B
Bubba Sparxxx,Ms. New Booty,252653,2005,62,-5.931,0.416,0.016,0,129.37,hip hop; pop; country
Amy Winehouse,You Know I'm No Good,256946,2006,63,-3.607,0.0309,0.0132,0.00428,103.383,R&B
Rascal Flatts,What Hurts The Most,214106,2006,69,-5.134,0.0277,0.0088,0,136.002,country
Red Hot Chili Peppers,Dani California,282160,2006,76,-2.36,0.0437,0.0193,0.00000859,96.184,rock
Scissor Sisters,I Don't Feel Like Dancin',288360,2006,63,-3.409,0.0276,0.0195,0,108.023,pop; rock; Dance/Electronic
Ne-Yo,So Sick,207186,2006,75,-8.336,0.31,0.246,0,92.791,pop; R&B
Hinder,Lips Of An Angel,261053,2019,35,-5.386,0.0341,0.0208,0.00000122,129.005,pop; rock; metal
The Raconteurs,Steady; As She Goes,215266,2006,56,-4.563,0.12,0.0132,0.00916,123.696,rock
The Fratellis,Chelsea Dagger,215306,2006,68,-3.14,0.144,0.0491,0,154.514,rock
Fort Minor,Where'd You Go (feat. Holly Brook & Jonah Matranga),231866,2005,42,-3.309,0.238,0.262,0.00197,179.999,hip hop; pop; rock
The Pussycat Dolls,Stickwitu,207506,2005,67,-6.408,0.0587,0.283,0,79.918,pop; R&B
Panic! At The Disco,I Write Sins Not Tragedies,185586,2005,70,-4.481,0.14,0.0737,0,169.961,rock
James Blunt,Goodbye My Lover,258653,2005,67,-12.591,0.0512,0.953,0.00342,89.567,pop
Christina Aguilera,Ain't No Other Man,228906,2006,63,-4.722,0.222,0.00376,0.00855,127.91,pop
Westlife,The Rose,219106,2006,0,-9.706,0.0294,0.784,0,109.581,pop
Keane,Is It Any Wonder?,186173,2006,59,-2.771,0.0363,0.0000382,0.000178,129.352,pop
Orson,No Tomorrow,167493,2006,46,-4.623,0.0691,0.0065,0,124.082,pop
T-Pain,I'm N Luv (Wit a Stripper) (feat. Mike Jones),265333,2005,0,-10.38,0.0688,0.00544,0,145.171,hip hop; pop; R&B
KT Tunstall,Black Horse And The Cherry Tree,172373,2005,64,-7.788,0.0641,0.328,0,104.833,World/Traditional; pop; Folk/Acoustic
Natasha Bedingfield,Unwritten,259333,2004,2,-6.333,0.0399,0.00584,0,100.011,pop
Razorlight,America,249760,2006,67,-4.975,0.0305,0.295,0.00000326,90.933,rock; pop
James Morrison,You Give Me Something,213173,2006,64,-6.496,0.114,0.216,0,79.753,pop; R&B
Snow Patrol,You're All I Have,273333,2006,35,-4.554,0.045,0.0000548,0.0566,132.013,World/Traditional; rock; pop
The Fray,How to Save a Life,262533,2005,79,-4.08,0.0379,0.269,0,122.035,pop
Sandi Thom,I Wish I Was a Punk Rocker (with Flowers in My Hair),151640,2006,61,-6.815,0.358,0.544,0,108.102,World/Traditional; pop
My Chemical Romance,Welcome to the Black Parade,311106,2006,76,-4.103,0.0752,0.000289,0.00011,96.95,rock
Razorlight,In The Morning,222453,2006,59,-3.495,0.042,0.00379,0.000863,124.191,rock; pop
The All-American Rejects,Dirty Little Secret,193653,2005,65,-4.253,0.0432,0.000343,0.00000135,143.853,rock; pop
James Morrison,Wonderful World,210066,2006,49,-4.606,0.029,0.0548,0,78.969,pop; R&B
Chris Brown,Yo (Excuse Me Miss),229040,2005,69,-5.847,0.272,0.119,0,86.768,hip hop; pop; R&B
P!nk,Who Knew,208493,2006,0,-4.569,0.0274,0.00462,0,140.004,pop
The Kooks,Naive,203506,2006,73,-6.209,0.0892,0.0759,0,100.304,rock
Leona Lewis,Bleeding Love,262466,2007,75,-5.886,0.0357,0.188,0,104.036,pop; R&B
Rihanna,Umbrella,275986,2008,81,-4.603,0.134,0.00864,0,174.028,hip hop; pop; R&B
Britney Spears,Gimme More,251240,2007,79,-3.131,0.0334,0.25,0.000678,113.324,pop
Fergie,Big Girls Don't Cry (Personal),268120,2006,76,-4.296,0.0335,0.205,0,113.082,pop; R&B
Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,219413,2007,0,-4.789,0.0544,0.00253,0.000426,105.828,pop
Plain White T's,Hey There Delilah,232533,2005,78,-10.572,0.0293,0.872,0,103.971,pop
Justin Timberlake,What Goes Around.../...Comes Around (Interlude),448573,2006,70,-4.751,0.0709,0.122,0.00102,76,pop
Gwen Stefani,The Sweet Escape,246466,2006,71,-3.502,0.0343,0.191,0,119.961,pop; R&B
Timbaland,The Way I Are,179120,2007,80,-6.492,0.1,0.181,0.751,114.759,hip hop; pop; R&B
Nelly Furtado,Say It Right,223080,2006,81,-6.328,0.139,0.0476,0.00112,116.948,hip hop; pop; latin
Ida Corr,Let Me Think About It,151973,2012,43,-3.425,0.046,0.00022,0.0665,129.026,set()
Alex Gaudino,Destination Calabria - Radio Edit,223111,2007,73,-4.804,0.0425,0.0015,0.000814,128.016,Dance/Electronic
September,Cry for You,209800,2007,65,-3.988,0.0301,0.00133,0.000139,130.018,pop; Dance/Electronic
Akon,Smack That,212360,2006,58,-5.166,0.0475,0.317,0,118.988,pop
Timbaland,Give It To Me,234026,2007,70,-3.904,0.0632,0.168,0.000552,110.621,hip hop; pop; R&B
50 Cent,Ayo Technology,247946,2007,67,-5.44,0.132,0.0828,0,140.144,hip hop; pop
Eric Prydz,Proper Education - Radio Edit,198567,2007,0,-4.543,0.0523,0.00102,0.035,124.938,pop; Dance/Electronic
Fedde Le Grand,Put Your Hands Up For Detroit - Radio Edit,150533,2015,0,-4.474,0.202,0.0153,0.21,127.995,pop; Dance/Electronic
Ciara,Like a Boy,237053,2006,68,-5.751,0.145,0.267,0,132.035,pop; R&B
Kanye West,Stronger,311866,2007,54,-7.858,0.153,0.00564,0,103.992,hip hop
Beyoncé,Beautiful Liar,199853,2007,64,-3.74,0.0703,0.00554,0.000237,91.977,pop; R&B
Gym Class Heroes,Cupid's Chokehold / Breakfast in America - Radio Mix,237173,2007,59,-5.084,0.0781,0.495,0,79.702,hip hop; pop
Akon,I Wanna Love You,247066,2006,53,-9.387,0.0417,0.0359,0.00000128,99.989,pop
Soulja Boy,Crank That (Soulja Boy),221933,2007,74,-2.18,0.0786,0.515,0,140.141,hip hop; pop
Fat Joe,Make It Rain,247413,2006,59,-5.063,0.197,0.0106,0,149.28,hip hop; pop
P!nk,U + Ur Hand,214386,2006,0,-3.688,0.0528,0.00144,0,141.04,pop
Rihanna,Shut Up And Drive,212280,2008,69,-4.902,0.0349,0.00101,0.129,132.964,hip hop; pop; R&B
Lloyd,Get It Shawty,209533,2007,62,-4.032,0.241,0.123,0,128.014,hip hop; pop; R&B
Kanye West,Can't Tell Me Nothing,271600,2007,47,-6.133,0.039,0.0122,0,80.029,hip hop
Camille Jones,The Creeps - Fedde Le Grand Radio Mix,152333,2006,17,-6.632,0.0603,0.278,0.029,127.894,set()
Linkin Park,What I've Done,205613,2007,77,-5.285,0.0324,0.0141,0.00000164,120.119,rock; metal
Keyshia Cole,Last Night,255706,2007,60,-5.032,0.0623,0.166,0.0003,121.006,hip hop; pop; R&B
Chris Brown,Kiss Kiss (feat. T-Pain),250666,2007,68,-3.386,0.225,0.0506,0,140.043,hip hop; pop; R&B
Shop Boyz,Party Like A Rock Star,253400,2007,61,-4.633,0.0395,0.00541,0,144.972,hip hop; pop
Finger Eleven,Paralyzer,208106,2007,73,-3.486,0.0456,0.157,0,106.031,rock; metal
Justin Timberlake,Summer Love,252973,2006,66,-7.228,0.087,0.0756,0,95.802,pop
MiMS,This Is Why I'm Hot,253706,2007,59,-6.349,0.576,0.277,0,80.021,hip hop; pop
Fabolous,Make Me Better,253573,2007,62,-6.886,0.0995,0.33,0,86.491,hip hop; pop; R&B
Seether,Fake It,193893,2007,73,-3.509,0.0518,0.00141,0.00000159,132.078,rock; metal
Take That,Patience,202066,2006,64,-4.154,0.0405,0.142,0.00000111,175.788,pop
Arctic Monkeys,Brianstorm,172866,2007,67,-4.706,0.191,0.0000815,0.00155,165.182,rock
Justin Timberlake,My Love (feat. T.I.),276160,2006,72,-5.881,0.224,0.277,0.0000118,119.952,pop
Fergie,Glamorous,246600,2006,64,-6.447,0.23,0.298,0,130.993,pop; R&B
Linkin Park,Bleed It Out,166373,2007,73,-3.647,0.0508,0.114,0,140.127,rock; metal
My Chemical Romance,Teenagers,161920,2006,80,-3.063,0.0632,0.0506,0,111.647,rock
Calvin Harris,Acceptable in the 80's,333680,2007,57,-5.454,0.0511,0.0143,0.257,127.99,hip hop; pop; Dance/Electronic
Sugababes,About You Now,212400,2007,66,-6.065,0.0378,0.0000652,0.0000605,82.499,pop; R&B
Avril Lavigne,Girlfriend,216600,2007,75,-2.433,0.102,0.000722,0.000221,163.983,pop
Ne-Yo,Because Of You,266840,2007,74,-5.784,0.0356,0.528,0,109.97,pop; R&B
Daughtry,It's Not Over,215173,2016,45,-3.476,0.0538,0.0467,0,145.959,pop; rock; metal
Unk,Walk It Out,173040,2013,48,-3.696,0.0813,0.0982,0,160.022,hip hop; pop
Lloyd,You,273133,2007,70,-6.008,0.47,0.102,0,130.159,hip hop; pop; R&B
Klaxons,Golden Skans,165120,2007,65,-2.776,0.0381,0.000418,0.00000738,141.955,rock
T-Pain,Bartender (feat. Akon),238800,2007,3,-8.539,0.133,0.0611,0,104.987,hip hop; pop; R&B
Baby Boy Da Prince,The Way I Live - Main Explicit,324906,2006,59,-7.562,0.248,0.0147,0,90.02,hip hop; pop
Fergie,Fergalicious,292373,2006,63,-7.72,0.316,0.0576,0,129.055,pop; R&B
Omarion,Ice Box,256426,2006,57,-5.446,0.134,0.189,0,131.105,hip hop; pop; R&B
Pretty Ricky,On the Hotline - Amended Version,242586,2007,57,-5.477,0.183,0.0185,0,92.988,hip hop; pop; R&B
Nickelback,Rockstar,252040,2005,69,-3.004,0.0386,0.0459,0,144.072,rock; metal
