artist,song,duration_ms,year,popularity,loudness,speechiness,acousticness,instrumentalness,tempo,genre
LeAnn Rimes,Can't Fight The Moonlight,215506,2001,65,-6.341,0.0497,0.403,0,97.865,pop; country
Oasis,Go Let It Out,278666,2000,0,-5.631,0.0333,0.0136,0.0000251,84.192,Folk/Acoustic; rock
DJ Ötzi,Hey Baby (Radio Mix),219240,2010,58,-3.196,0.046,0.123,0,135.099,pop; easy listening; Dance/Electronic
P!nk,Most Girls,298960,2000,52,-6.046,0.0311,0.0424,0.00446,97.922,pop
Mariah Carey,Against All Odds (Take A Look at Me Now) (feat. Westlife),199480,2011,0,-5.599,0.0315,0.584,0,117.338,pop; R&B
Craig David,Fill Me In,257200,2000,60,-6.981,0.0365,0.376,0.00951,132.493,hip hop; pop; R&B
Christina Aguilera,I Turn to You,273706,1999,61,-8.356,0.0376,0.38,0,127.177,pop
Madonna,American Pie,273533,2000,58,-7.48,0.036,0.348,0,124.036,pop
Red Hot Chili Peppers,Otherside,255373,1999,78,-3.265,0.0574,0.00316,0.000202,123.229,rock
Sammie,I Like It,251040,2000,55,-8.529,0.0617,0.0101,0.000113,129.963,hip hop; pop; R&B
Craig David,7 Days,235133,2000,70,-7.499,0.0487,0.23,0,83.014,hip hop; pop; R&B
Santana,Maria Maria (feat. The Product G&B),261973,1999,66,-5.931,0.126,0.0406,0.00201,97.911,rock; blues; latin
Kandi,Don't Think I'm Not,243533,2000,55,-8.196,0.0445,0.0661,0,134.007,pop; R&B
P!nk,There You Go,202800,2000,55,-6.729,0.0917,0.0854,0,107.908,pop
Vengaboys,Shalala Lala,214819,2000,58,-5.802,0.0328,0.0504,0.00308,124.017,pop
Ronan Keating,Life Is A Rollercoaster,234826,2000,59,-8.923,0.0302,0.1,0.000124,118.981,pop; rock
Madison Avenue,Don't Call Me Baby,228140,1999,56,-6.588,0.0311,0.0585,0.00689,124.999,Dance/Electronic
Destiny's Child,Jumpin'; Jumpin',230200,1999,70,-4.639,0.0567,0.00543,0.00157,88.997,pop; R&B
Céline Dion,That's the Way It Is,241373,1999,64,-5.424,0.0434,0.154,0,93.04,pop
3 Doors Down,Kryptonite,233933,2000,78,-5.708,0.0286,0.00664,0.000011,99.009,pop; rock; metal
Carl Thomas,I Wish,226760,2000,52,-4.929,0.0337,0.0593,0.0000382,89.824,pop; R&B
